keywords,year,_medizin,_personen,_tiere,_objekte,_ethngrp,_messungen,_geo,_pflanzen,_gestminer,_zitate,_einheiten,_lawihw,_zeichnungen,id,_text
"Quebracho, Laço & Bolas, Vila, Rindvieh, Objekte, Pferde, Pueblo de la Vacas, Minas Gerais, Estancia, Legoa, Maßeinheiten, Campos, Pflanzen, Cálera de Camacho, Tiere, Espirillo, Bahia, Arroyo de las Vivoras, Alcalde, Nago Neger, Neger, Cálera, Arroyo de las Vacas, Wasser- & Ufervögeln, Molle, Geographische Angaben, Landwirtschaft und Handwerk, Paraguay, Ethnien/Gruppen, S. Paulo, Tala, Vila de Vivoras, Vila de las Vivoras, Nanduvahy, Vaqueiro",1822,,,Wasser- & Ufervögeln,"Laço & Bolas, Campos, Vila, Estancia, Cálera","Alcalde, Nago Neger, Vaqueiro, Neger",,"Bahia, Arroyo de las Vivoras, Paraguay, S. Paulo, Pueblo de la Vacas, Cálera de Camacho, Minas Gerais, Vila de Vivoras, Vila de las Vivoras, Arroyo de las Vacas","Quebracho, Espirillo, Molle, Tala, Nanduvahy",,,Legoa,"Rindvieh, Pferde",,ZM_S_I_Sellow_Exk_01_1_r,"Excursion nach der Cálera de Camacho / und Pueblo de la Vacas von V[il]a de Vivoras Am 23. 10br 1822 morgens bald nach Sonnenaufgang verließ ich die V[il]a de las Vivoras[,] von meinem Nago Neger begleitet und von einem Vaqueiro geführt[,] den der Alcalde des Districts mir beordert hatte. Es führt ein Fahrweg nach der genannten Cálera, den wir einschlugen. Mein Führer, ein großer starker in Paraguay geborener Neger, war sehr gesprächig und ungeniert in seinen Fragen. Er war recht gut nach Landessitte gekleidet und hatte sogar silberne Schnallen und Riemenspitzen an den eisernen Sporen. Er führte Laço & Bolas mit sich. Unter anderem erzählte er mir[,] daß er einst von Paraguay und zu Lande nach Bahia und wieder zurück gereist sei. Der Weg führt am Ar[roy]o de las Vivoras, in einiger Entfernung, hinab. Dieser breitet sich sehr aus, und bildet weitläuftige zum Theil sumpfige Niederungen[,] welche von Wasser& Ufervögeln mancher Art bevölkert sind. Eine halbe L[egoa] von der V[il]a kamen wir an einer Estancia des Alcalde vorüber[,] wo wir einige hundert Stück Rindvieh von großer Schönheit und eine Menge Pferde gesehen. Wir kamen über einige flache Hügel[,] welche das Bild der Campos von Minas Gerais & S. Paulo darstellten; denn auf denselben wachsen zerstreut Nanduvahy Stämme[,] deren älteste 25Fuß Höhe erreichen; unter ihnen wächst hin und wieder ein Tala[,] Espirillo, Molle, Quebracho. Wo man durch den Ar[roy]o de las Vacas kommt[,] bemerkt man kaum[,] dass man einen Fluß"
"Objekte, Ibisse, Löffelreiher, Medico, Negers, Curadãos, Störche, Pflanzen, Oenothera, Oreja de Ceivo, Aquapé, Tiere, Medizin, Angrelten Vogel, Campo, Wasserpflanzen, Geographische Angaben, Jabiru, wilde Hunde, Paraguay, Ethnien/Gruppen, Alisma cordifolia, Oenothera Herva Yerva  de la vida., Gänse, Disteln, Hundswuth",1822,"Medico, Hundswuth",,"Jabiru, wilde Hunde, Störche, Ibisse, Angrelten Vogel, Gänse, Löffelreiher",Campo,"Negers, Curadãos",,Paraguay,"Alisma cordifolia, Oreja de Ceivo, Oenothera, Oenothera Herva Yerva  de la vida., Aquapé, Wasserpflanzen, Disteln",,,,,,ZM_S_I_Sellow_Exk_01_1_v,"{(Hügel begrenzen die Nieder/ ungen[,] welche von einzel stehenden Bäumen von früher genannten Arten bewachsen s[in]d).} durchwadet. Er ist hier in kein scharfes Ufer gezwängt, sondern breitet sich weit aus und bewässert eine weite Niederung mit größeren & kleineren mit Wasserpflanzen angefüllte Lachen & Gräben. Eine große Menge Störche mit ihren graubunten Jungen. Schwärme kleiner dunkelgrüner Ibis[se], denen sich Angrelten beigesellen, Löffelreiher[,] von denen ich 5 – 10 beisammen sahe, weiße Gänse gleichfalls zu 6 – 8 & darüber und hin und wieder ein gravitätischer Jabiru mit seinen nackten schwarzen am Kragen hoch fleischfarbenem Hals, finden hier ihre Nahrung. Der Weg schien wenig begangen zu werden¸ wir hatten an einigen Stellen Mühe hier durchzukommen, da die Canäle tief waren und die Wasserpflanzen[,] vorzüglich die hier so häufige drüsige Oenothera ?, & Alisma cordifol[ia], welche hier Aquapé {So nannte sie der Paraguaer[.] Ein anderer[,] der / hiesige Medico[,] auch aus dem Parag[uay] gebürtig[,] nannte sie Oreja de Ceivo & die Oenoth[era] Herva [Yerva] de la vida.} heißt, sehr überhand genommen hatte. In den Hauptcanal fiel das Pferd meines Negers und Pflanzenpapier[,] Pulver[,] Frühstück wurde durchnäßt, wodurch wir genöthigt wurden[,] eine Stunde anzuhalten[,] um wenigstens ersteres wieder zu trocknen[,] wobei die beträchtl[iche] Hitze des Tages mir zu Statten kam. Sobald man den Fluß hinter sich hat[,] kommt man über Campo[,] auf welchem die Disteln stark überhand genommen haben. Wir sahen hier mehrere wilde Hunde[,] wobei der Paraguayer klagte[,] daß viele Landleute von tollen wilden Hunden gebissen würden erst vor wenigen Tagen einer im Orte an der Hundswuth gestorben sei, trotz des Fleißes und der Wissenschaft des Curadãos[,] der ein Kristusbild (von Santo Christo) im Schlunde habe und daher die"
"Guaca, Camacho, Objekte, Personen, chico, Ponte de Martin, Arroyo de las Vivanas, Ila del Juncal, Cerro de Bautista, Vila de las Viboras, Don Camacho, Arroyo  de las Vivoras, Martin Guarcia, Calena, Arroyo  de las Vacas, Parana (Los Paranaces), Geographische Angaben, Paraguay, Dos Hermanas, Illa Sola",1822,,"Camacho, Don Camacho",,Calena,,,"chico, Ila del Juncal, Parana (Los Paranaces), Guaca, Cerro de Bautista, Paraguay, Dos Hermanas, Vila de las Viboras, Ponte de Martin, Illa Sola, Arroyo  de las Vivoras, Martin Guarcia, Arroyo  de las Vacas, Arroyo de las Vivanas",,,,,,,ZM_S_I_Sellow_Exk_01_2_r__2311,"Wunde bei der Kur ohne Nachtheils für sich aussaugen könne. Wir erreichten die Calena von Camacho bald nach 10 Uhr[,] welche von der V[il]a de las Viboras drei kl[eine] Legoas entfernt sein soll[,] was mir richtig schien. Es steht hier noch ein großes steinernes Haus. Mehrere Nebengebäude liegen aber in Trümmern. An Allem sieht man[,] daß dieser Ort einst einen wohlhabenden Besitzer gehabt[,] jetzt einen armen Mann beherberge. Der große Saal[,] in den ich trat[,] war nur mit einem kl[einen] Tisch, einigen schlechten Stühlen, und einem großen breiten Brett vom Paraguay, welches einst eine andere Bestimmung gehabt und nun Statt Bett diente[,] möblirt. Die Wände[,] seit vielen Jahren nicht geweißt und mit Schiffen, Reitern, ja skandalösen Figuren, in groben Zügen mit Kohle bemahlt od: bekratzt. D[o]n C[amacho] empfing mich freundlich und führte mich auf das Dach seines Hauses[,] wo man eine freie Aussicht nach dem Fluß hat[,] der 10 bis 15 Minuten von der Höhe[,] auf welcher das Gebäude liegt[,] entfernt ist. In h 9 ¼ SO sieht man von hier die Illa Sola, welche der Mündung des Ar[roy]o de las Vacas gegenüber liegt, Ponte de Martin chico h 9, hinter der Illa Sola die Dos Hermanas weiterhin in h 10 die größere Insel Martin Guarcia. In h 12 ½ der Mündung des Ar[roy]o de las Vivoras, gegenüber die Ila del Juncal die Mündung des Guaca erkennt man mit Mühe in h. 1 ½ in dieser Richtung und weiter Rechts die zahlreichen Inseln des Parana (Los Paranaces)[,] die Mündung des Ar[roy]o de las Vivanas in h 12 S. Am Ufer des Flusses ein wenig zurück sieht man den Cerro de Bautista siehe p."
"Kalkofen, Kalkbrennerei, Geographische Angaben, Camacho, Vila de Minas, Objekte, Muschelgestein, Muschel-Kalk-Sandstein, Urgebirge, Gesteine/Minerale, Personen, Uruguay",1822,,Camacho,,"Kalkofen, Kalkbrennerei",,,"Vila de Minas, Uruguay",,"Urgebirge, Muschelgestein, Muschel-Kalk-Sandstein",,,,,ZM_S_I_Sellow_Exk_01_2_v__2312,"Gleich in der Nähe des Hauses stößt man auf Muschel-Kalk-Sandstein[,] welcher in horizontalen Schichten, von einigen Zollen bis zu einigen Füßen Mächtigkeit, ansteht und Hügelrücken[,] welche sich in der 6ten St[unde] ausdehnen[,] bildet. Die Schichten sind nicht durchgängig von gleicher Beschaffenheit; man sieht nämlich einmal ein kleinoder feinkörniges Gestein aus Sand und kleinen Fragmenten von Muscheln durch ein kalkiges Bindemittel verbunden[,] ein andermal eine außerordentliche Anhäufung von zweischaligen Muscheln[,] welche meistens söhlig geschichtet sind und wovon oft einzelne Schaalen[,] eine in die andere[,] liegen[,] durch ein Kalkbindemittel mit wenigen großen Sandkörnern und kleinen Geröllen vom Urgebirge verbunden. Camacho unterscheidet für seine Kalkbrennerei drei Arten von Gesteinen[:] ein kleinkörniges sandreiches[,] in dem nur mit Mühe Muschelfragmente erkannt werden können, ein schwarzgraues muschelreiches und endlich ein weißes Muschelgestein[,] worin sich nur einzelne kl[eine] Gerölle von Urgebirgen finden[.] Letzteres gibt den besten Kalk[,] ersteres liefert nur vermengten[,] da es am meisten Sand enthält. Der Kalkofen dicht beim Hause ist von derselben Bauart als der zu V[il]a de Minas. Das Mauerwerk noch in gutem Zustande[,] allein der Eingang in die Abhänge des Hügels mit Gesträuch verwachsen[.] C[amach]o lud mich zu Tische ein es gab gebratenes[,] darauf gekochtes Fleisch mit Brühe und endlich geronnene Milch[,] wobei man sich entschuldigte[,] daß es an Brod fehle. Das herrliche Wasser des Uruguay schmeckte vortrefflich[,] dazu an einem so heißen Tage[.] Ein Fremder von reifen Jahren aß mit uns, der mich dann wann beiseitenahm[,]"
"medizinal Pflanzen, Camacho, AesctunomonePflanze, Cochabamba, Doktor Antonio Ascoi, Personen, Arzt, Kranken, Haenke, Pflanzen, Cerro del Bautista, Piscidia, Heilkräutern, Medizin, Uruguay, Chirurgie, Buenos Ayres, Peru, Geographische Angaben, Las Vacas, Heilmittel, Hundswuth",1822,"Arzt, medizinal Pflanzen, Kranken, Chirurgie, Heilmittel, Heilkräutern, Hundswuth","Camacho, AesctunomonePflanze, Haenke, Doktor Antonio Ascoi",,,,,"Peru, Uruguay, Las Vacas, Cerro del Bautista, Cochabamba, Buenos Ayres",Piscidia,,,,,,ZM_S_I_Sellow_Exk_01_3_r__2313,"zuweilen auf meine Fragen an Camacho unwirsch antwortete endlich sehr unwillig bemerkte[,] daß einer[,] der Richtungen von Punkten aufschriebe und die Leute ausfrage, wie ich, nothwendig.[erweise] Erlaubniß von der Reg[ierung] dazu haben müsste und als ich darauf nur mit der Bemerkung antwortete[,] daß nichts natürlicher wäre als dieses er ganz Recht hätte, aber keine Lust zeigte ihm meinen Paß zu öffnen[,] schien seinen Unmuth zu steigern, doch als ich das Gespräch zufällig auf medizinal Pflanzen brachte und von Mitteln wider die Hundswuth sprach heiterten sich seine Züge auf und er versicherte mich[,] daß er ein großer Kenner von Heilkräutern sei und auch die Hundswuth unfehlbar heile[.] Nach und nach wurde er die Freundlichkeit selbst. Er erbot sich[,] mich nach dem Cerro del Bautista zu begleiten[,] wo viele Pflanzen wüchsen[,] welche er auch in Cochabamba[,] wo er Haenke gekannt, als Heilmittel anwenden gesehen. Dieser Mann war der Arzt der Gegend, in Las Vacas wohnhaft und hierher gekommen[,] um einen Kranken zu besuchen. Er erzählte mir[,] daß er in Buen[os] Ayr[es] Chirurgie studirt hätte, darauf nach Peru gegangen wäre, wo er ein Erfolg reicher Mann gewesen, in der Revolution sein Eigenthum eingebüßt und nun wieder seine Wissenschaft ausübe. D[okto]r Ant[oni]o Ascoi begleitete mich an das Ufer des Uruguay. Nahe am Ufer wächst viel Gesträuch von Piscidia Aesctunomone. Erstere wird hier an 20 F[u]ß hoch[,] dieselben standen in der schönsten Blüte[.] Der Fluß wirft seinen feinen Sand aus, der sich an Stellen zu ansehnlichen Dünen anhäuft."
"Tiere, Geographische Angaben, Camacho, Pflanzen, Schnecke No. 2, Dammerde, Muschelkalksteins, Tropfstein, Cerro del Bautista, Nanduvahy, Urgebirgen, Gesteine/Minerale, Muschelkalkstein, Personen, Cerro   , Kalkstein, Mergelknollen",1822,,Camacho,Schnecke No. 2,,,,"Cerro del Bautista, Cerro   ",Nanduvahy,"Dammerde, Muschelkalksteins, Tropfstein, Urgebirgen, Muschelkalkstein, Kalkstein, Mergelknollen",,,,,ZM_S_I_Sellow_Exk_01_3_v__2314,"Der sogenannte Cerro del Bautista streckt sich 4 Minuten lang in h. 6 ½ . Steigt man vom Fluße aus hinan[,] so erklimmt man 60 Fuß hohen feinen mehr oder weniger mit etwas Dammerde gemengten Sand[,] in welchen sich die Schnecke No. 2 findet[,] diese aber nur einzeln zerstreut; darauf folgt etwa 20 Fuß hoch Muschelkalkstein von derselben Beschaffenheit als bei dem Hause des Camacho[,] gleichfalls sohlig gelagert[.] Die Schichten sind von 4 Zoll bis zwei Fuß mächtig und sind bald reicher bald ärmer an Muscheln[.] Von der unteren Schicht sind einige etwas versunken und stehen von einander ab[,] daß man mit einem Stab tief dazwischen stoßen kann, und man ist geneigt anzunehmen[,] daß der Kalkst[ein] auf dem Sande gelagert sei; so findet man in der unteren Schicht auch zackiges Gestein[,] Tropfst[ein] ähnliches oder von dem Ansehen der Mergelknollen[,] die hier so häufig im aufgeschwemmten Lande vorkommen. Nach N. hin fällt der Hügel allmählig ab und zeigt keine steile Wand. Einige Nanduvahy und einige andere Sträucher finden sich auf diesem Abhange. Je schwerer es ist[,] die Muschelfragmente zu erkennen, desto feiner stets der Sand. Wo die Muscheln gehäuft[,] da sieht man nur wenige[,] aber nicht mehrere Linien große abgerundete Theile von Urgebirgen[,] die Muscheln scheinen sehr verkalkt und die einzelnen Schaalen liegen oft ineinander[.] Sie liegen meistens (im Einzelnen) horizonthal[.] Von dem Cerro zum Hause von Cam[ach]o mag ¼ L[egoa] Entf[ernung] sein. Über das Einsammlen mehrerer Pflanzen einiger Exemplare des Muschelkalksteins war es etwas"
"Mergelstein, Objekte, Patienten, Personen, Doktor Antonio, Pflanzen, Dr. Antonio, Schädel   andere Knochen nebst Geräthschaften, Gesteine/Minerale, Medizin, Urbewohner, Barra, Charuas Charrúa, Gomphrena Yanata, Arroyo de las Vacas, Geographische Angaben, Ethnien/Gruppen, Espinilla, Begräbnißplätze, Camachos, Las Vacas, Villa, Vaqueiro",1822,Patienten,"Dr. Antonio, Doktor Antonio, Camachos",,"Villa, Begräbnißplätze, Barra, Schädel   andere Knochen nebst Geräthschaften","Urbewohner, Vaqueiro, Charuas Charrúa",,"Arroyo de las Vacas, Las Vacas","Gomphrena Yanata, Espinilla",Mergelstein,,,,,ZM_S_I_Sellow_Exk_01_4_r__2315,"spät geworden[,] ich nahm daher gern das Anerbieten von D[okto]r Ant[oni]o an[,] bei ihm in Las Vacas zu übernachten und erst am nächsten Morgen zu meinen Leuten zurückzukehren. Ich verabschiedete daher meinen Vaqueiro und trat gegen 5 Uhr mit D[okto]r Ant[oni]o den Weg nach Las Vacas an. Beim Aufsitzen bemerkte ich[,] daß mir eine Pistole fehlte[,] welche entweder der Vaqueiro beim Satteln gestohlen oder in Camachos Zimmer[,] wo der Sattel seit meiner Ankunft daselbst gelegen[,] entwendet worden. Wir gingen gerade nach der Barra des Ar[roy]o de las Vacas zu[,] wo Mergelstein im Bett eine kleine niedere Bank quer durch den Fluß bildet[,] wodurch bei niederem Wasser ein kl[einer] Wasserfall entsteht[.] Der Fluß ist hier 30 Sch[ritt] breit und war gegenwärtig etwa 1 Fuß tief[,] nämlich auf der Bank[.] Die Ufer sind auch hier stark bewachsen. Der Weg führt eine Strecke zwischen Dünen hin[,] Sandhügeln von 20 Fuß Höhe[.] Hier[,] erzählte Dr. Ant[oni]o[,] hätte man acht Schädel andere Knochen nebst Geräthschaften der Urbewohner[,] namentlich der Charuas gefunden, welche hier gewohnt gemeinschaftliche Begräbnißplätze gehabt hätten. Die Dünen sind sehr spärlich bewachsen. Weiter hin führt der Weg bis zur Villa durch ebenes Land[,] welches bei starkem Regen zum Theil überschwemmt wird. Dr. Ant[oni]o mußte auf dem Wege einen Patienten besuchen[,] der eine Wunde an einem Zehen hatte. Mit vieler Selbstgenügung öffnete er die eingesammleten medizinischen Schätze[,] wobei die Hausfrau scherzend ausrief os bruxo, bruxo, dann öffnete er den Verband – die Wunde war mit den getrockneten zu Pulver gemahlten Blättern der Espinilla bestreut worden, und legte ein Blatt der Gomphrena Yanata"
"Buenos  Ayres, Objekte, Maßeinheiten, □Flächen, Punta Gorda, Montevideo, Gesteine/Minerale, Schleifstein, Pulperias, Barca, Arroyo de las Vacas, Feuer stellen, Geographische Angaben, Landwirtschaft und Handwerk, Sandstein, Las Vacas, Krämer, Intercours, Vila de las Vacas",1822,,,,"Feuer stellen, Barca, Pulperias, Intercours",,,"Buenos  Ayres, Las Vacas, Punta Gorda, Montevideo, Vila de las Vacas, Arroyo de las Vacas",,Sandstein,,□Flächen,"Schleifstein, Krämer",,ZM_S_I_Sellow_Exk_01_4_v__2316,"die wellige Seite auf die Wunde auf, wobei er den Mann versicherte[,] er habe nun nichts weiter nöthig[,] vermittelst dieses Blattes würde die Wunde bald trocknen, rühmend bewundernd, dass die glatte Seite des Blattes ätze[,] die wellige hingegen heile. Ich sahe hier ein Stück als Schleifstein gebrauchten Sandstein von der Punta Gorda[,] welcher mit starkem Essig ein wenig brauset. Wir erreichten[,] als es anfing Nacht zu werden[,] die V[il]a de las Vacas[.] Es befinden sich hier an [die] 50 Feuer stellen[,] welche theils unmittelbar am Ar[roy]o de las Vacas liegen[,] theils einige tausend Schritte von dem Ufer entfernt auf einem erhabenerem Grunde. Jenes Terrain ist Überschwemmungen ausgesetzt und man geht daher damit um[,] die E[in]w[ohner] alle auf der Höhe zu versammlen dort eine anständige Kirche zu bauen[.] Gegenw[ärtig] wird der Gottesdienst in einer Strohhütte gehalten[.] Die Häuser auf der Höhe liegen noch sehr zertreut[,] die □ sind aber abgesteckt und durch Bezirke bezeichnet[.] In dem unteren Theile des Orts sieht man sehr viele Pulperias[,] wo auch Zeuge verkauft werden. Im ganzen Orte sind 16 Krämer[.] Alle Gebäude bestehen aus Wänden von Stäben Lehmen sind mit Stroh gedeckt. Kleine Fahrzeuge können recht gut bis zur Va gelangen. Ich sehe hier nur 1 Barca vor Anker. Von der V[il]a bis zur Mündung des Las Vacas etwa ¼ St[unde][.] Es hat dieser Ort fast mehr Intercours mit Buen[os] Ayr[es] als mit Montevideo[.] Die Fahrt wird gewöhnlich[,] wenn nicht widrige Winde herrschen[,] binnen 6-8 Stunden gemacht."
"CAT Carl August Tenne, Personen, Trappwand, Anastasio Antonio Vieira, Gesteine/Minerale, Tiere, Tieger, Charuas Charrúa, Cañas, Uruguay, 368, Anastasio, Veados brancos, Quarzdrusen, Geographische Angaben, Arroyo do Cañas, Ethnien/Gruppen, TrappGanges, Quarz Kalzedon",1823,,"368, CAT Carl August Tenne, Anastasio, Anastasio Antonio Vieira","Tieger, Veados brancos",,Charuas Charrúa,,"Cañas, Uruguay, Arroyo do Cañas",,"TrappGanges, Quarz Kalzedon, Quarzdrusen, Trappwand",,,,,ZM_S_I_Sellow_Exk_25_1_r__2617,"Excursion nach der Est[anci]a des Anast[asi]o Ant[oni]o Vieira und zu den Charuas nordwestlicher Theil von Uruguay que Cañas mit Gest. No 368 gesammelt CAT Das Thal des Ar[roy]o do Cañas war mit hohem bereits halbdürrem bleichendem Grase bedeckt, durch welches man sich nur mit Mühe hindurcharbeiten konnte und welches nur schlechtes Futter für Zugvieh und Pferde gewährte. Es war hier also kein schicklicher Ort[,] um einige Tage zu verweilen. Daher verließen wir die Ufer dieses Bachs und gingen noch ½ L[egoa] weiter, wo wir auf einer ziemlich hohen Fläche, am Fuße eines TrappGanges, des höchsten Punktes der Gegend, gute Weide, herrliches Wasser und Gebüsch, welches eine seiger abgestürzte Trappwand umkleidete, antrafen. Von hier aus begleitete ich den S[enho]r Anastasio, welcher die Gefälligkiet gehabt / Anast[asi]o Ant[oni]o Vieira hatte, mir bis jenseits Cañas entgegen zu kommen und die Karren bis hier her geleitet hatte, nach seiner Wohnung 1 ½ L[egoa] von hier gegen N. Auf dem Wege dahin sahen wir viele Veados brancos und S[enho]r Anast[asio] zeigte mir mehrere Grotten[,] wo bei seiner Ankunft hieselbst Tieger gewohnt, welche seitdem getödtet worden. An mehreren Stellen sahe ich Geschiebe von Quarz Kalzedon und auch von Quarzdrusen. Ehe wir die Est[anci]a erreichten[,] blieb uns ein eingezäuntes Kreuz zur Seite. Ehrerbietig zog S[enho]r Anast[asio] schon weit vor demselben den Huth ab und betete im Vorüberreiten, welchem Beispiel ich folgte. Es liegt hier ein Leutnant vom Miliz Regiment vom Rio pardo begraben, welcher unlängst"
"Tiere, Tieger, Tiger, Anastasio, Personen",1823,,Anastasio,"Tiger, Tieger",,,,,,,,,,,ZM_S_I_Sellow_Exk_25_1_v__2618,"an den Wunden starb, die ihm ein Tiger[,] den er angeschossen hatte, versetzt hatte. Der Tieger war im Augenblick[,] als er den Stoß erhalten, von dem Baume, auf den er sich vor den Hunden geflüchtet, auf ihn herabgesprungen, hatte ihn nieder geworfen und in die Schulter gebissen mit der Tatze in den Arm verwundet; an diesen Wunden, obschon sie nicht tief waren, starb er unter grausamen Schmerzen am 3ten Tage. S[enho]r Anast[asio] zeigte mir in einiger Entfernung das Grab eines anderen Jägers, welcher auf ähnliche Weise an Tiegerwunden umgekommen. Seit langer Zeit gewohnt[,] auf den Estancias nur schlechte[,] meistens verfallene Hütten zu sehen[,] war ich durch die Ordnung[,] Reinlichkeit[,] welche hier herschten und gute Anordnung des Ganzen äußerst überrascht. Ich fand ein geräumiges, hohes wohlerbautes Wohnhaus mit einer Kirche in einiger Entfernung und ein hohes Reiserdach zum Unterbringen von Pferden s.w; alles in einem großen Maaßstabe und aufs Dauerhafte eingerichtet. Im Hause befanden sich Stühle[,] ein guter großer Tisch und gute Bettstädten. Die Frau des Hauses[,] gleichfalls von Farbe wie S[enho]r Anastasio[,] war wohl gekleidet und betrug sich sehr anständig[,] so wie auch die Kinder wohlgezogen schienen. Man bewirthete mich aufs Beste und sogar Wein und Brod fehlten nicht. Die Wohnung liegt"
